Train,CodeCutoff,SnapDate,Ring2,Ring3,General
T2-W-Web-25-Nov-A,Oct 31 05:30 AM,Nov 03 09:00 AM,Nov 03 09:00 AM,Nov 07 09:00 AM,Nov 17 09:00 PM
T2-W-Web-26-Jan-C,Jan 16 05:30 AM,Jan 19 09:00 AM,Jan 19 09:00 AM,Jan 23 09:00 AM,Feb 04 06:00 PM
T2-W-Web-26-Jan-D,Jan 23 05:30 AM,Jan 26 09:00 AM,Jan 26 09:00 AM,,
T2-W-Web-26-Feb-A,Jan 30 05:30 AM,Feb 02 09:00 AM,Feb 02 09:00 AM,Feb 06 09:00 AM,Feb 18 06:00 PM
T2-W-Web-26-Feb-B,Feb 06 05:30 AM,Feb 09 09:00 AM,Feb 09 09:00 AM,,
T2-W-Web-26-Feb-C,Feb 13 05:30 AM,Feb 16 09:00 AM,Feb 16 09:00 AM,Feb 20 09:00 AM,Mar 04 06:00 PM
T2-W-Web-26-Feb-D,Feb 20 05:30 AM,Feb 23 09:00 AM,Feb 23 09:00 AM,,
